block_number,miner_reward,fee_recipient_eth_diff,miner,fee_recipient,coinbase_transfers,eth_sent_to_fee_recipient,gas_used,gas_price,effective_priority_fee
15748701,78324126225105595,78324126225105595,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,915927673096600,915927673096600,20048006,3906828750,3906828750
15748703,52013908129417390,52013908129417390,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,29166829421075079,29166829421075079,9171761,5671092839,5671092839
15748704,53181361547704183,53181361547704183,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,14082824676084000,14082824676084000,9895567,5374261176,5374261176
15748705,19641401609515183,19641401609515183,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1287594333851000,1287594333851000,3205801,6126831206,6126831206
15748717,34671330969636628,34671330969636628,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,595370687155189,595370687155189,14346949,2416634433,2416634433
15748720,33732284779611782,33732284779611782,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,14835117,2273813194,2273813194
15748721,24949692545291896,24949692545291896,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,11696431,2133103041,2133103041
15748724,24816520262238777,24816520262238777,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,8152589,3044004826,3044004826
15748726,14041137543019680,14041137543019680,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,843572,16644859648,16644859648
15748728,53093281373336374,53093281373336374,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,18482613,2872606885,2872606885
