slot,block_hash,block_reward,gas_used,validator_pubkey,operator_name,pool_name,buidler_pubkey,builder_name,relay_name,relay_url
5538500,0x9655d36ce0e876eea03fde593d875e3fed71bf138af64fc45a1af120efa3655c,0.159453701303579806,13732781,0x92b4ed3d1682d2586e68878d6d0629e555d29eb766eddcb674f0ab7379e9c125c5ee68a77cb99f71c27e43f3868d89d1,,,0x82ba7cadcdfc1b156ba2c48c1c627428ba917858e62c3a97d8f919510da23d0f11cf5db53cb92a5faf5de7d31bf38632,Unknown,Flashbots,https://0xac6e77dfe25ecd6110b8e780608cce0dab71fdd5ebea22a16c0205200f2f8e2e3ad3b71d3499c54ad14d6c21b41a37ae@boost-relay.flashbots.net
5538501,0x383dca1fb965bcb19f92932782e0efbbe3f8d8bc15b8a85b8098069afb0e991a,0.056432252654423790,14759390,0x98226d1be207533941452ecf37d09adaf234bf4d3163c3bfb456262d47b9ef91ac57f690f8894d91ad221c1e66e1c08e,,Coinbase,0xa1daf0ab37a9a204bc5925717f78a795fa2812f8fba8bda10b1b27c554bd7dedd46775106facd72be748eea336f514e9,Øgethgo1.19.1linux,Flashbots,https://0xac6e77dfe25ecd6110b8e780608cce0dab71fdd5ebea22a16c0205200f2f8e2e3ad3b71d3499c54ad14d6c21b41a37ae@boost-relay.flashbots.net
5538502,0x37159c71a33375586597bd896392ceb6317bd385a97a934de95918846c154dc4,0.136854803307043703,15351496,0x81509611e5b714536d85ee906bc9d06a8461c8c3dd6188e58c89491e744db7d2aafc7c8f42eed66f3e582a1295203c54,Stakefish,,0xaec4ec48c2ec03c418c599622980184e926f0de3c9ceab15fc059d617fa0eafe7a0c62126a4657faf596a1b211eec347,beaverbuild.org,Bloxroute Regulated,https://0xb0b07cd0abef743db4260b0ed50619cf6ad4d82064cb4fbec9d3ec530f7c5e6793d9f286c4e082c0244ffb9f2658fe88@bloxroute.regulated.blxrbdn.com
5538503,0x5342aabc7ac2ab398139d4989ef4ff57938d30536ff7f9f7f3ecd9e0663bc31d,0.023790088159892096,14418555,0xb474cb46ea2bae46ee9e658683662db5f365ec8ddcac0eb49b7a60159ad149b046803bf9044b157e1d4c07db7ef4d56e,,Bitfinex,0x81babeec8c9f2bb9c329fd8a3b176032fe0ab5f3b92a3f44d4575a231c7bd9c31d10b6328ef68ed1e8c02a3dbc8e80f9,flashbots,Flashbots,https://0xac6e77dfe25ecd6110b8e780608cce0dab71fdd5ebea22a16c0205200f2f8e2e3ad3b71d3499c54ad14d6c21b41a37ae@boost-relay.flashbots.net
5538504,0x498f3ec769d9be888b4f9f23a453a1579442de210abe348861e524da0341ed7c,0.052001053692687920,18232404,0xa6b6364d808331a54fd3ec24f7b0ac2d1e43e884e52325f726f2856805eed12487586d760086fed6890202f80e8f6be3,,,0x81beef03aafd3dd33ffd7deb337407142c80fea2690e5b3190cfc01bde5753f28982a7857c96172a75a234cb7bcb994f,flashbots,Flashbots,https://0xac6e77dfe25ecd6110b8e780608cce0dab71fdd5ebea22a16c0205200f2f8e2e3ad3b71d3499c54ad14d6c21b41a37ae@boost-relay.flashbots.net
5538505,0xe0505d5cd8402871fcb7b27ebccb9fa1f54842a1331e438fc6275f30f7530f8a,1.566882289923055409,17293517,0x8e788f7cb9f9b19d92c168e4d38586a3dd599931e1a81f700a6359b3732e496ae98e6e1bd354bd06f9c7352a615fe7ea,,,0x83bee51799e65130296f5d60ce7d78119578db6045c3c3631980514abae0be0f9b65fe82eb0c9a79d6d99030112c874c,Unknown,Flashbots,https://0xac6e77dfe25ecd6110b8e780608cce0dab71fdd5ebea22a16c0205200f2f8e2e3ad3b71d3499c54ad14d6c21b41a37ae@boost-relay.flashbots.net
5538507,0x38a940ffad11df1188310742ec4dc52752fc7628be482598e21e2f8b15357df6,0.029468470657557024,12649076,0xa3f4ffa05ca5eeb31735f909cd2983d22f48eedfcc6c7c41e6067859518198a8946d6edbbc746037b4ee6abcf9edfdb3,,,0xa4fb63c2ceeee73d1f1711fadf1c5357ac98cecb999d053be613f469a48f7416999a4da35dd60a7824478661399e6772,builder0x69,Flashbots,https://0xac6e77dfe25ecd6110b8e780608cce0dab71fdd5ebea22a16c0205200f2f8e2e3ad3b71d3499c54ad14d6c21b41a37ae@boost-relay.flashbots.net
5538508,0x7a00d063e7d831120df4709ef4b11b8dae7acbb401782aeb7803fce45a59d374,0.049119356413886256,19896215,0x95f37fe41e4970bc5ac7f21f582ea3da564b59ddf935f4bbe9cee0498f89645ad65116b5ed8ceaa56221a4092c3efa12,Everstake,Lido,0x976e63c505050e25b70b39238990c78ddf0948685eb8c5687d17ba5089541f37dd3c45999f2db449eac298b1d4856013,bloxroute,Bloxroute Max Profit,https://0x8b5d2e73e2a3a55c6c87b8b6eb92e0149a125c852751db1422fa951e42a09b82c142c3ea98d0d9930b056a3bc9896b8f@bloxroute.max-profit.blxrbdn.com
5538509,0xdd3644940e6291a92935eef50b0420c991a5ab3e05687e52284f801677aebaaf,0.034125367773453571,13524148,0x8cda50dba6735f901575372afc56e3f68b2bc589db3119c6439b269435369f0fd9e8f61b53f50bb092bb74aaa0441a45,,,0x9000009807ed12c1f08bf4e81c6da3ba8e3fc3d953898ce0102433094e5f22f21102ec057841fcb81978ed1ea0fa8246,blocknative,Blocknative,https://0x9000009807ed12c1f08bf4e81c6da3ba8e3fc3d953898ce0102433094e5f22f21102ec057841fcb81978ed1ea0fa8246@builder-relay-mainnet.blocknative.com
5538510,0x047076f4a048c3088370c339d2b32408514ce4ead5e61ef73687d07cb49fe44e,0.025881627390437525,12540407,0x8aa6ebec59b9e94f96b95fa4a6a3809da80c2e60b3177379aab771356770d4273cc0d947774331a6300f8b9638c734de,,,0xa1dead01e65f0a0eee7b5170223f20c8f0cbf122eac3324d61afbdb33a8885ff8cab2ef514ac2c7698ae0d6289ef27fc,flashbots,Flashbots,https://0xac6e77dfe25ecd6110b8e780608cce0dab71fdd5ebea22a16c0205200f2f8e2e3ad3b71d3499c54ad14d6c21b41a37ae@boost-relay.flashbots.net
