builder_name,share,e_1,e_2,e_3,e_4,e_5,e_6,e_7,e_8,e_9,e_10
flashbots,0.2088,131943,26787,5287,1055,202,53,7,1,0,0
builder0x69,0.157,112514,16991,2596,410,56,10,0,0,0,0
bloxroute,0.1114,88166,9496,1001,115,12,1,0,0,0,0
beaverbuild.org,0.1064,85049,8799,897,101,11,1,0,0,0,0
blocknative,0.033,30696,973,19,0,0,0,0,0,0,0
https://eth-builder.com,0.0312,29026,877,22,0,0,0,0,0,0,0
coda_geth_linux,0.0271,25562,698,18,0,0,0,0,0,0,0
eden,0.0074,7342,58,0,0,0,0,0,0,0,0
manifold,0.0035,3378,14,0,0,0,0,0,0,0,0
,0.6858,513676,64693,9840,1681,281,65,7,1,0,0
