builder_name,slots,share,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10
flashbots,207603,0.2088,134724,24898,5319,1194,285,95,26,13,3,2
builder0x69,156094,0.157,100699,18727,4134,916,256,66,21,2,4,0
bloxroute,110822,0.1114,82369,10893,1685,293,67,10,4,1,1,0
beaverbuild.org,105826,0.1064,69033,11596,2737,809,231,78,41,14,8,3
blocknative,32836,0.033,29140,1565,140,21,10,2,0,0,0,0
https://eth-builder.com,30982,0.0312,25962,2051,249,39,3,0,0,0,0,0
coda_geth_linux,26921,0.0271,24295,1147,93,12,1,0,0,0,0,0
eden,7397,0.0074,7293,52,0,0,0,0,0,0,0,0
manifold,3478,0.0035,3427,24,1,0,0,0,0,0,0,0
,681959,0.6858,476942,70953,14358,3284,853,251,92,30,16,5
